2019-07-25 17:58:07.710 [main] INFO  org.springframework.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2019-07-25 17:58:07.748 [main] INFO  org.springframework.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2019-07-25 17:58:07.947 [main] INFO  org.springframework.jmx.export.annotation.AnnotationMBeanExporter - Registering beans for JMX exposure on startup
2019-07-25 17:58:07.955 [main] INFO  org.springframework.context.support.DefaultLifecycleProcessor - Starting beans in phase 2147483647
2019-07-25 17:58:07.955 [main] INFO  springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
2019-07-25 17:58:07.966 [main] INFO  springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2019-07-25 17:58:07.976 [main] INFO  springfox.documentation.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2019-07-25 17:58:08.182 [main] INFO  org.springframework.boot.context.embedded.tomcat.TomcatEmbeddedServletContainer - Tomcat started on port(s): 8888 (http)
2019-07-25 17:58:08.188 [main] INFO  com.tester1.app.Application - Started Application in 3.343 seconds (JVM running for 4.577)
2019-07-25 17:58:21.168 [http-nio-8888-exec-1] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring FrameworkServlet 'dispatcherServlet'
2019-07-25 17:58:21.168 [http-nio-8888-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet 'dispatcherServlet': initialization started
2019-07-25 17:58:21.199 [http-nio-8888-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet 'dispatcherServlet': initialization completed in 30 ms
2019-07-25 17:58:21.431 [http-nio-8888-exec-1] INFO  com.tester1.controller.UserManager - 查询到的结果是：1
2019-07-25 17:58:21.431 [http-nio-8888-exec-1] INFO  com.tester1.controller.UserManager - 登录的用户是：h11
2019-07-25 17:58:21.488 [http-nio-8888-exec-2] INFO  com.tester1.controller.UserManager - 查询到的结果是：0
2019-07-25 17:58:21.531 [http-nio-8888-exec-3] INFO  com.tester1.controller.UserManager - cookies验证通过
2019-07-25 17:58:21.579 [http-nio-8888-exec-3] INFO  com.tester1.controller.UserManager - 添加用户的数量是：org.apache.catalina.connector.RequestFacade@cf385d7
2019-07-25 17:58:27.643 [http-nio-8888-exec-4] INFO  com.tester1.controller.UserManager - cookies验证通过
2019-07-25 17:58:27.664 [http-nio-8888-exec-4] INFO  com.tester1.controller.UserManager - getUserInfo获取到的用户数量是：1
2019-07-25 17:58:30.725 [http-nio-8888-exec-5] INFO  com.tester1.controller.UserManager - cookies验证通过
2019-07-25 17:58:30.832 [http-nio-8888-exec-5] INFO  com.tester1.controller.UserManager - 更新数据的条目是：1
2019-07-25 17:58:32.908 [http-nio-8888-exec-6] INFO  com.tester1.controller.UserManager - cookies验证通过
2019-07-25 17:58:32.910 [http-nio-8888-exec-6] INFO  com.tester1.controller.UserManager - getUserInfo获取到的用户数量是：1
2019-07-25 18:00:22.135 [http-nio-8888-exec-8] INFO  com.tester1.controller.UserManager - 查询到的结果是：1
2019-07-25 18:00:22.135 [http-nio-8888-exec-8] INFO  com.tester1.controller.UserManager - 登录的用户是：h11
2019-07-25 18:00:22.207 [http-nio-8888-exec-9] INFO  com.tester1.controller.UserManager - 查询到的结果是：0
